taskId;name;startTime;maxSearchTime;type;videoNumber;startFrame;endFrame;text1;text2;text3;trecvidId;avsText
13;Textual2020-25;2020-1-6 09:27:25;480;KIS_Textual;5423;5782;6086;Someone setting letters into a stamp, embossing a name onto an axe cover made of leather, and presenting the axe with the cover.;Someone setting letters into a stamp, embossing a name onto an axe cover made of leather, and presenting the axe with the cover. The first shot shows wooden the box with the letters, the last shot a man on the left holding the axe.;Someone setting letters into a stamp, embossing a name onto an axe cover made of leather, and presenting the axe with the cover. The first shot shows wooden the box with the letters, the last shot a man on the left holding the axe. The man has dark hair and a beard, and wear a sweater with a green/yellow collar.;
14;Visual2020-19;2020-1-6 09:36:47;300;KIS_Visual;6962;1467;1966;;;;
15;Visual2020-40;2020-1-6 09:47:12;300;KIS_Visual;4495;8700;9179;;;;
16;Visual2020-41;2020-1-6 09:52:38;300;KIS_Visual;662;6904;7502;;;;
17;Visual2020-42;2020-1-6 09:58:23;300;KIS_Visual;4468;5974;6453;;;;
18;Textual2020-30;2020-1-6 10:16:15;480;KIS_Textual;4916;422;1021;A sequence from a Photoshop tutorial screencast showing how to adjust image settings of a raw image.;The image being processed shows a view through an Indian-style window.;The image is opened, then lens settings are reviewed and the histogram is adjusted.;
19;Visual2020-43;2020-1-6 10:24:48;300;KIS_Visual;1630;5884;6383;;;;
20;Visual2020-44;2020-1-6 10:30:13;300;KIS_Visual;1752;2416;3014;;;;
21;Textual2020-31;2020-1-6 10:35:37;300;KIS_Textual;4740;5300;5731;A black musician standing in a NYC subway station and talking to people.;A black musician standing in a NYC subway station and talking to people. He wears a white short and a cap, in the second shot one sees he has a drum and a black bag.;A black musician standing in a NYC subway station and talking to people. He wears a white short and a cap, in the second shot one sees he has a drum and a black bag. In the first shot, a sign "EXIT Downtown 6" is visible, in the second "86th" on the wall.;
22;Visual2020-45;2020-1-6 10:41:39;300;KIS_Visual;943;724;1322;;;;
23;Visual2020-46;2020-1-6 10:47:31;300;KIS_Visual;6924;4026;4624;;;;
24;Visual2020-47;2020-1-6 10:52:53;300;KIS_Visual;3569;935;1434;;;;
25;Visual2020-48;2020-1-6 10:58:26;300;KIS_Visual;6200;1457;1956;;;;
